Clean Code,Corrupted Code,Gold output,Prediction1,Prediction2,Shuffle_Index,Better Label,
"def refresh_token(self,
                      grant_type,
                      client_id,
                      client_secret,
                      refresh_token,
                      **params):
        

        # Ensure proper grant_type
        if grant_type != 'refresh_token':
            return self._make_json_error_response('unsupported_grant_type')

        # Check conditions
        is_valid_client_id = self.validate_client_id(client_id)
        is_valid_client_secret = self.validate_client_secret(client_id,
                                                             client_secret)
        scope = params.get('scope', '')
        is_valid_scope = self.validate_scope(client_id, scope)
        data = self.from_refresh_token(client_id, refresh_token, scope)
        is_valid_refresh_token = data is not None

        # Return proper error responses on invalid conditions
        if not (is_valid_client_id and is_valid_client_secret):
            return self._make_json_error_response('invalid_client')

        if not is_valid_scope:
            return self._make_json_error_response('invalid_scope')

        if not is_valid_refresh_token:
            return self._make_json_error_response('invalid_grant')

        # Discard original refresh token
        self.discard_refresh_token(client_id, refresh_token)

        # Generate access tokens once all conditions have been met
        access_token = self.generate_access_token()
        token_type = self.token_type
        expires_in = self.token_expires_in
        refresh_token = self.generate_refresh_token()

        # Save information to be used to validate later requests
        self.persist_token_information(client_id=client_id,
                                       scope=scope,
                                       access_token=access_token,
                                       token_type=token_type,
                                       expires_in=expires_in,
                                       refresh_token=refresh_token,
                                       data=data)

        # Return json response
        return self._make_json_response({
            'access_token': access_token,
            'token_type': token_type,
            'expires_in': expires_in,
            'refresh_token': refresh_token
        })","

def arg5(arg1, arg2, arg3, arg4, arg5, **arg6):
    if (arg2 != 'refresh_token'):
        return self._make_json_error_response('unsupported_grant_type')
    var1 = self.validate_client_id(arg3)
    var2 = self.validate_client_secret(arg3, arg4)
    var3 = params.get('scope', '')
    var4 = self.validate_scope(arg3, var3)
    var5 = self.from_refresh_token(arg3, arg5, var3)
    var6 = (var5 is not None)
    if (not (var1 and var2)):
        return self._make_json_error_response('invalid_client')
    if (not var4):
        return self._make_json_error_response('invalid_scope')
    if (not var6):
        return self._make_json_error_response('invalid_grant')
    self.discard_refresh_token(arg3, arg5)
    var7 = self.generate_access_token()
    var8 = self.token_type
    var9 = self.token_expires_in
    arg5 = self.generate_refresh_token()
    self.persist_token_information(client_id=arg3, scope=var3, access_token=var7, token_type=var8, expires_in=var9, refresh_token=arg5, data=var5)
    return self._make_json_response({'access_token': var7, 'token_type': var8, 'expires_in': var9, 'refresh_token': arg5})
",Generate access token HTTP response from a refresh token .,Refresh a token using a refresh token .,Generate a new access token .,1,Prediction1,
"def get_ticker_price(self, ticker,
                         startDate=None, endDate=None,
                         fmt='json', frequency='daily'):
        
        url = self._get_url(ticker, frequency)
        params = {
            'format': fmt if fmt != ""object"" else 'json',  # conversion local
            'resampleFreq': frequency
        }

        if startDate:
            params['startDate'] = startDate
        if endDate:
            params['endDate'] = endDate

        # TODO: evaluate whether to stream CSV to cache on disk, or
        # load as array in memory, or just pass plain text
        response = self._request('GET', url, params=params)
        if fmt == ""json"":
            return response.json()
        elif fmt == ""object"":
            data = response.json()
            return [dict_to_object(item, ""TickerPrice"") for item in data]
        else:
            return response.content.decode(""utf-8"")","

def func1(arg1, arg2, arg3=None, arg4=None, arg5='json', arg6='daily'):
    var1 = self._get_url(arg2, arg6)
    var2 = {'format': (arg5 if (arg5 != 'object') else 'json'), 'resampleFreq': arg6}
    if arg3:
        var2['startDate'] = arg3
    if arg4:
        var2['endDate'] = arg4
    var3 = self._request('GET', var1, params=var2)
    if (arg5 == 'json'):
        return response.json()
    elif (arg5 == 'object'):
        var4 = response.json()
        return [dict_to_object(var6, 'TickerPrice') for var6 in var4]
    else:
        return response.content.decode('utf-8')
",By default return latest EOD Composite Price for a stock ticker . On average each feed contains 3 data sources .,Get the price of a ticker .,func1 returns a list of TickerPrice objects,1,Tie,
"def get_user_config_dir(app_name, app_author, roaming=True, force_xdg=True):
    
    if WIN:
        key = 'APPDATA' if roaming else 'LOCALAPPDATA'
        folder = os.path.expanduser(os.environ.get(key, '~'))
        return os.path.join(folder, app_author, app_name)
    if MAC and not force_xdg:
        return os.path.join(os.path.expanduser(
            '~/Library/Application Support'), app_name)
    return os.path.join(
        os.path.expanduser(os.environ.get('XDG_CONFIG_HOME', '~/.config')),
        _pathify(app_name))","

def func1(arg1, arg2, arg3=True, arg4=True):
    if var1:
        var2 = ('APPDATA' if arg3 else 'LOCALAPPDATA')
        var3 = os.path.expanduser(os.environ.get(var2, '~'))
        return os.path.join(var3, arg2, arg1)
    if (var4 and (not arg4)):
        return os.path.join(os.path.expanduser('~/Library/Application Support'), arg1)
    return os.path.join(os.path.expanduser(os.environ.get('XDG_CONFIG_HOME', '~/.config')), _pathify(arg1))
",Returns the config folder for the application . The default behavior is to return whatever is most appropriate for the operating system .,Get user config directory .,Return a path to a file .,1,Prediction1,
"def get_schedule():
    '''
    '''
    params = {'agentid': config()['agent']['name'].encode('utf8')}
    lookahead = config()['agent']['cal_lookahead'] * 24 * 60 * 60
    if lookahead:
        params['cutoff'] = str((timestamp() + lookahead) * 1000)
    uri = '%s/calendars?%s' % (config()['service-scheduler'][0],
                               urlencode(params))
    try:
        vcal = http_request(uri)
    except pycurl.error as e:
        logger.error('Could not get schedule: %s' % e)
        return

    try:
        cal = parse_ical(vcal.decode('utf-8'))
    except Exception:
        logger.error('Could not parse ical')
        logger.error(traceback.format_exc())
        return
    db = get_session()
    db.query(UpcomingEvent).delete()
    for event in cal:
        # Ignore events that have already ended
        if event['dtend'] <= timestamp():
            continue
        e = UpcomingEvent()
        e.start = event['dtstart']
        e.end = event['dtend']
        e.uid = event.get('uid')
        e.title = event.get('summary')
        e.set_data(event)
        db.add(e)
    db.commit()","

def func1():
    '\n    '
    var1 = {'agentid': config()['agent']['name'].encode('utf8')}
    var2 = (((config()['agent']['cal_lookahead'] * 24) * 60) * 60)
    if var2:
        var1['cutoff'] = str(((timestamp() + var2) * 1000))
    var6 = ('%s/calendars?%s' % (config()['service-scheduler'][0], urlencode(var1)))
    try:
        var8 = http_request(var6)
    except pycurl.error as e:
        logger.error(('Could not get schedule: %s' % var10))
        return
    try:
        var11 = parse_ical(vcal.decode('utf-8'))
    except Exception:
        logger.error('Could not parse ical')
        logger.error(traceback.format_exc())
        return
    var14 = get_session()
    db.query(UpcomingEvent).delete()
    for var16 in var11:
        if (var16['dtend'] <= timestamp()):
            continue
        var10 = UpcomingEvent()
        e.start = var16['dtstart']
        e.end = var16['dtend']
        e.uid = event.get('uid')
        e.title = event.get('summary')
        e.set_data(var16)
        db.add(var10)
    db.commit()
",Try to load schedule from the Matterhorn core . Returns a valid schedule or None on failure .,Get a schedule of upcoming events .,\ n,1,Prediction1,
"def autolink(el, link_regexes=_link_regexes,
             avoid_elements=_avoid_elements,
             avoid_hosts=_avoid_hosts,
             avoid_classes=_avoid_classes):
    
    if el.tag in avoid_elements:
        return
    class_name = el.get('class')
    if class_name:
        class_name = class_name.split()
        for match_class in avoid_classes:
            if match_class in class_name:
                return
    for child in list(el):
        autolink(child, link_regexes=link_regexes,
                 avoid_elements=avoid_elements,
                 avoid_hosts=avoid_hosts,
                 avoid_classes=avoid_classes)
        if child.tail:
            text, tail_children = _link_text(
                child.tail, link_regexes, avoid_hosts, factory=el.makeelement)
            if tail_children:
                child.tail = text
                index = el.index(child)
                el[index+1:index+1] = tail_children
    if el.text:
        text, pre_children = _link_text(
            el.text, link_regexes, avoid_hosts, factory=el.makeelement)
        if pre_children:
            el.text = text
            el[:0] = pre_children","

def var9(arg1, arg2=var1, arg3=var2, arg4=var3, arg5=var4):
    if (el.tag in arg3):
        return
    var5 = el.get('class')
    if var5:
        var5 = class_name.split()
        for var6 in arg5:
            if (var6 in var5):
                return
    for var7 in list(arg1):
        autolink(var7, link_regexes=arg2, avoid_elements=arg3, avoid_hosts=arg4, avoid_classes=arg5)
        if child.tail:
            (var10, var11) = _link_text(child.tail, arg2, arg4, factory=el.makeelement)
            if var11:
                child.tail = var10
                var13 = el.index(var7)
                arg1[(var13 + 1):(var13 + 1)] = var11
    if el.text:
        (var10, var14) = _link_text(el.text, arg2, arg4, factory=el.makeelement)
        if var14:
            el.text = var10
            arg1[:0] = var14
",Turn any URLs into links .,Autolinks variables in arg1 .,Autolink an element .,0,Prediction2,
"def list(self, path):
        '''
        '''

        self.__validate_storage_path(path)
        entity = self.api_client.get_entity_by_query(path=path)
        if entity['entity_type'] not in self.__BROWSABLE_TYPES:
            raise StorageArgumentException('The entity type ""{0}"" cannot be'
                                           'listed'.format(entity['entity_type']))
        entity_uuid = entity['uuid']
        file_names = []

        # get files
        more_pages = True
        page_number = 1
        while more_pages:
            response = self.api_client.list_folder_content(
                entity_uuid, page=page_number, ordering='name')
            more_pages = response['next'] is not None
            page_number += 1
            for child in response['results']:
                pattern = '/{name}' if child['entity_type'] == 'folder' else '{name}'
                file_names.append(pattern.format(name=child['name']))

        return file_names","

def func1(arg1, arg2):
    '\n        '
    self.__validate_storage_path(arg2)
    var1 = self.api_client.get_entity_by_query(path=arg2)
    if (var1['entity_type'] not in self.__BROWSABLE_TYPES):
        raise StorageArgumentException('The entity type ""{0}"" cannot belisted'.format(var1['entity_type']))
    var3 = var1['uuid']
    var4 = []
    var5 = True
    var6 = 1
    while var5:
        var7 = self.api_client.list_folder_content(var3, page=var6, ordering='name')
        var5 = (var7['next'] is not None)
        var6 += 1
        for var8 in var7['results']:
            var9 = ('/{name}' if (var8['entity_type'] == 'folder') else '{name}')
            file_names.append(pattern.format(name=var8['name']))
    return var4
",List the entities found directly under the given path .,\ n,Returns a list of file names for the given path .,0,Prediction2,
"def get_meteor_ids(model, object_ids):
    
    # Django model._meta is now public API -> pylint: disable=W0212
    meta = model._meta
    result = collections.OrderedDict(
        (str(obj_pk), None)
        for obj_pk
        in object_ids
    )
    if isinstance(meta.pk, AleaIdField):
        # primary_key is an AleaIdField, use it.
        return collections.OrderedDict(
            (obj_pk, obj_pk) for obj_pk in object_ids
        )
    alea_unique_fields = [
        field
        for field in meta.local_fields
        if isinstance(field, AleaIdField) and field.unique and not field.null
    ]
    if len(alea_unique_fields) == 1:
        aid = alea_unique_fields[0].name
        query = model.objects.filter(
            pk__in=object_ids,
        ).values_list('pk', aid)
    else:
        content_type = ContentType.objects.get_for_model(model)
        query = ObjectMapping.objects.filter(
            content_type=content_type,
            object_id__in=list(result)
        ).values_list('object_id', 'meteor_id')
    for obj_pk, meteor_id in query:
        result[str(obj_pk)] = meteor_id
    for obj_pk, meteor_id in result.items():
        if meteor_id is None:
            result[obj_pk] = get_meteor_id(model, obj_pk)
    return result","

def func1(arg1, arg2):
    var1 = model._meta
    var2 = collections.OrderedDict(((str(var4), None) for var4 in arg2))
    if isinstance(meta.pk, var6):
        return collections.OrderedDict(((var4, var4) for var4 in arg2))
    var7 = [var8 for var8 in meta.local_fields if (isinstance(var8, var6) and field.unique and (not field.null))]
    if (len(var7) == 1):
        var10 = alea_unique_fields[0].name
        var11 = model.objects.filter(pk__in=object_ids).values_list('pk', var10)
    else:
        var12 = ContentType.objects.get_for_model(arg1)
        var11 = ObjectMapping.objects.filter(content_type=content_type, object_id__in=list(result)).values_list('object_id', 'meteor_id')
    for (var4, var13) in var11:
        var2[str(var4)] = var13
    for (var4, var13) in result.items():
        if (var13 is None):
            var2[var4] = get_meteor_id(arg1, var4)
    return var2
",Return Alea ID mapping for all given ids of specified model .,Get a list of meteor_ids for a given model .,alea_unique_fields = object_ids = object_ids,1,Prediction1,equally bad
"def bash_complete(self, path, cmd, *cmds):
        
        path = pathlib.Path(path)
        subcmds = list(self.subcmds.keys())
        with path.open('w') as bcf:
            # main function
            print('_{}() {{'.format(cmd), file=bcf)
            print('COMPREPLY=()', file=bcf)
            print(r'local cur=${COMP_WORDS[COMP_CWORD]}', end='\n\n', file=bcf)
            optstr = ' '.join(self._bash_comp_command(None))
            print(r'local options=""{}""'.format(optstr), end='\n\n', file=bcf)
            if subcmds:
                print('local commands=""{}""'.format(' '.join(subcmds)),
                      file=bcf)
                print('declare -A suboptions', file=bcf)
            for sub in subcmds:
                optstr = ' '.join(self._bash_comp_command(sub))
                print('suboptions[{}]=""{}""'.format(sub, optstr), file=bcf)
            condstr = 'if'
            for sub in subcmds:
                print(condstr, r'[[ ""${COMP_LINE}"" == *""', sub, '""* ]] ; then',
                      file=bcf)
                print(r'COMPREPLY=( `compgen -W ""${suboptions[', sub,
                      r']}"" -- ${cur}` )', sep='', file=bcf)
                condstr = 'elif'
            print(condstr, r'[[ ${cur} == -* ]] ; then', file=bcf)
            print(r'COMPREPLY=( `compgen -W ""${options}"" -- ${cur}`)',
                  file=bcf)
            if subcmds:
                print(r'else', file=bcf)
                print(r'COMPREPLY=( `compgen -W ""${commands}"" -- ${cur}`)',
                      file=bcf)
            print('fi', file=bcf)
            print('}', end='\n\n', file=bcf)
            print('complete -F _{0} {0}'.format(cmd), *cmds, file=bcf)","

def func1(arg1, arg2, arg3, *arg4):
    arg2 = pathlib.Path(arg2)
    var1 = list(self.subcmds.keys())
    with path.open('w') as var3:
        print('_{}() {{'.format(arg3), file=var3)
        print('COMPREPLY=()', file=var3)
        print('local cur=${COMP_WORDS[COMP_CWORD]}', end='\n\n', file=var3)
        var5 = ' '.join(self._bash_comp_command(None))
        print('local options=""{}""'.format(var5), end='\n\n', file=var3)
        if var1:
            print('local commands=""{}""'.format(' '.join(var1)), file=var3)
            print('declare -A suboptions', file=var3)
        for var6 in var1:
            var5 = ' '.join(self._bash_comp_command(var6))
            print('suboptions[{}]=""{}""'.format(var6, var5), file=var3)
        var7 = 'if'
        for var6 in var1:
            print(var7, '[[ ""${COMP_LINE}"" == *""', var6, '""* ]] ; then', file=var3)
            print('COMPREPLY=( `compgen -W ""${suboptions[', var6, ']}"" -- ${cur}` )', sep='', file=var3)
            var7 = 'elif'
        print(var7, '[[ ${cur} == -* ]] ; then', file=var3)
        print('COMPREPLY=( `compgen -W ""${options}"" -- ${cur}`)', file=var3)
        if var1:
            print('else', file=var3)
            print('COMPREPLY=( `compgen -W ""${commands}"" -- ${cur}`)', file=var3)
        print('fi', file=var3)
        print('}', end='\n\n', file=var3)
        print('complete -F _{0} {0}'.format(arg3), *arg4, file=var3)
",Write bash complete script .,This function is the main entry point for shell commands .,Run a bash command .,0,Tie,
"def get_url_from_image_key(image_instance, image_key):
    
    img_key_split = image_key.split('__')
    if 'x' in img_key_split[-1]:
        size_key = img_key_split.pop(-1)
    else:
        size_key = None
    img_url = reduce(getattr, img_key_split, image_instance)
    if size_key:
        img_url = img_url[size_key].url
    return img_url","

def func1(arg1, arg2):
    var1 = image_key.split('__')
    if ('x' in var1[(- 1)]):
        var2 = img_key_split.pop((- 1))
    else:
        var2 = None
    var3 = reduce(var5, var1, arg1)
    if var2:
        var3 = img_url[size_key].url
    return var3
",Build a URL from image_key .,reduces image_key and size_key to image_url,Get image url from image key .,0,Tie,
"def signal_handler(signum, stackframe):
    
    global g_runner
    global g_handling_signal

    if g_handling_signal:
        # Don't do this recursively.
        return
    g_handling_signal = True

    print("""")
    print(""----------------------------------------------------------------------"")
    print("""")
    print(""SIGNAL CAUGHT ("" + str(signum) + "").  TEARING DOWN CLOUDS."")
    print("""")
    print(""----------------------------------------------------------------------"")
    g_runner.terminate()","

def func1(arg1, arg2):
    global g_runner
    global g_handling_signal
    if var1:
        return
    var1 = True
    print('')
    print('----------------------------------------------------------------------')
    print('')
    print((('SIGNAL CAUGHT (' + str(arg1)) + ').  TEARING DOWN CLOUDS.'))
    print('')
    print('----------------------------------------------------------------------')
    g_runner.terminate()
",Helper function to handle caught signals .,This function is called when a signal is received .,This function is called when a signal is received .,1,Tie,
"def fromRaw(cls, skype=None, raw={}):
        
        return cls(skype, raw, **cls.rawToFields(raw))","

def func1(arg1, arg2=None, arg3={}):
    return cls(arg2, arg3, **cls.rawToFields(arg3))
",Create a new instance based on the raw properties of an API response .,Create a new instance from arg1 and arg2 .,Create a new instance from raw data .,0,Prediction2,
"def progress(iterator, prefix):
    
    if terminal_width(prefix) > 25:
        prefix = ("".."" + get_cut_prefix(prefix, 23))
    speed_updated = start = time()
    speed_written = written = 0
    speed_history = deque(maxlen=5)

    for data in iterator:
        yield data

        now = time()
        elapsed = now - start
        written += len(data)

        speed_elapsed = now - speed_updated
        if speed_elapsed >= 0.5:
            speed_history.appendleft((
                written - speed_written,
                speed_updated,
            ))
            speed_updated = now
            speed_written = written

            speed_history_written = sum(h[0] for h in speed_history)
            speed_history_elapsed = now - speed_history[-1][1]
            speed = speed_history_written / speed_history_elapsed

            status = create_status_line(
                prefix=prefix,
                written=format_filesize(written),
                elapsed=format_time(elapsed),
                speed=format_filesize(speed)
            )
            print_inplace(status)
    sys.stderr.write(""\n"")
    sys.stderr.flush()","

def func1(arg1, arg2):
    if (terminal_width(arg2) > 25):
        arg2 = ('..' + get_cut_prefix(arg2, 23))
    var3 = var4 = time()
    var6 = var7 = 0
    var8 = deque(maxlen=5)
    for var10 in arg1:
        (yield var10)
        var11 = time()
        var12 = (var11 - var4)
        var7 += len(var10)
        var14 = (var11 - var3)
        if (var14 >= 0.5):
            speed_history.appendleft(((var7 - var6), var3))
            var3 = var11
            var6 = var7
            var15 = sum((var17[0] for var17 in var8))
            var18 = (var11 - var8[(- 1)][1])
            var19 = (var15 / var18)
            var20 = create_status_line(prefix=arg2, written=format_filesize(var7), elapsed=format_time(var12), speed=format_filesize(var19))
            print_inplace(var20)
    sys.stderr.write('\n')
    sys.stderr.flush()
",Progress an iterator and updates a pretty status line to the terminal .,Print progress information to stderr .,A generator function that prints out a status line .,1,Tie,
"def compile_sympy_accesses(self, sources=True, destinations=True):
        
        sympy_accesses = defaultdict(list)
        # Compile sympy accesses
        for var_name in self.variables:
            if sources:
                for r in self.sources.get(var_name, []):
                    if r is None:
                        continue
                    sympy_accesses[var_name].append(self.access_to_sympy(var_name, r))
            if destinations:
                for w in self.destinations.get(var_name, []):
                    if w is None:
                        continue
                    sympy_accesses[var_name].append(self.access_to_sympy(var_name, w))

        return sympy_accesses","

def func1(arg1, arg2=True, arg3=True):
    var1 = defaultdict(var3)
    for var4 in self.variables:
        if arg2:
            for var5 in self.sources.get(var4, []):
                if (var5 is None):
                    continue
                sympy_accesses[var_name].append(self.access_to_sympy(var4, var5))
        if arg3:
            for var6 in self.destinations.get(var4, []):
                if (var6 is None):
                    continue
                sympy_accesses[var_name].append(self.access_to_sympy(var4, var6))
    return var1
",Return a dictionary of lists of sympy accesses for each variable .,Return a dict of variable names to accesses .,Compile sympy accesses .,0,Prediction1,
"def add_point(self, point, value, check=True):
        
        if self.tier_type != 'TextTier':
            raise Exception('Tiertype must be TextTier.')
        if check and any(i for i in self.intervals if i[0] == point):
                raise Exception('No overlap is allowed')
        self.intervals.append((point, value))","

def func1(arg1, arg2, arg3, arg4=True):
    if (self.tier_type != 'TextTier'):
        raise Exception('Tiertype must be TextTier.')
    if (arg4 and any((var3 for var3 in self.intervals if (var3[0] == arg2)))):
        raise Exception('No overlap is allowed')
    self.intervals.append((arg2, arg3))
",Add a point to the TextTier,Add a point to the text tier .,Add an interval to the list of intervals .,1,Tie,
"def merge(self, status: 'Status[Input, Output]') -> 'Status[Input, Output]':
        
        if status is None or status.farthest is None:
            # No new message; simply return unchanged
            pass
        elif self.farthest is None:
            # No current message to compare to; use the message from status
            self.farthest = status.farthest
            self.expected = status.expected
        elif status.farthest.position < self.farthest.position:
            # New message is not farther; keep current message
            pass
        elif status.farthest.position > self.farthest.position:
            # New message is farther than current message; replace with new message
            self.farthest = status.farthest
            self.expected = status.expected
        else:
            # New message and current message are equally far; merge messages
            self.expected = status.expected + self.expected

        return self","

def func1(arg1, arg2: 'Status[Input, Output]') -> 'Status[Input, Output]':
    if ((arg2 is None) or (status.farthest is None)):
        pass
    elif (self.farthest is None):
        self.farthest = status.farthest
        self.expected = status.expected
    elif (status.farthest.position < self.farthest.position):
        pass
    elif (status.farthest.position > self.farthest.position):
        self.farthest = status.farthest
        self.expected = status.expected
    else:
        self.expected = (status.expected + self.expected)
    return arg1
",Merge the failure message from another status into this one .,Merge two statuses .,Change the farthest position to match the expected position .,1,Prediction1,
"def get_file_id(db, user_id, api_path):
    
    return _get_file(
        db,
        user_id,
        api_path,
        [files.c.id],
        unused_decrypt_func,
    )['id']","

def func1(arg1, arg2, arg3):
    return _get_file(arg1, arg2, arg3, [files.c.id], var2)['id']
",Get the value in the id column for the file with the given user_id and path .,wrapper for _get_file,Get file id .,0,Prediction2,
"def create_interrupt_event():
        
        # Create a security attributes struct that permits inheritance of the
        # handle by new processes.
        # FIXME: We can clean up this mess by requiring pywin32 for IPython.
        class SECURITY_ATTRIBUTES(ctypes.Structure):
            _fields_ = [ (""nLength"", ctypes.c_int),
                         (""lpSecurityDescriptor"", ctypes.c_void_p),
                         (""bInheritHandle"", ctypes.c_int) ]
        sa = SECURITY_ATTRIBUTES()
        sa_p = ctypes.pointer(sa)
        sa.nLength = ctypes.sizeof(SECURITY_ATTRIBUTES)
        sa.lpSecurityDescriptor = 0
        sa.bInheritHandle = 1

        return ctypes.windll.kernel32.CreateEventA(
            sa_p,  # lpEventAttributes
            False, # bManualReset
            False, # bInitialState
            '')","

def func1():

    class SECURITY_ATTRIBUTES(ctypes.Structure):
        _fields_ = [('nLength', ctypes.c_int), ('lpSecurityDescriptor', ctypes.c_void_p), ('bInheritHandle', ctypes.c_int)]
    var1 = SECURITY_ATTRIBUTES()
    var3 = ctypes.pointer(var1)
    sa.nLength = ctypes.sizeof(var2)
    sa.lpSecurityDescriptor = 0
    sa.bInheritHandle = 1
    return ctypes.windll.kernel32.CreateEventA(var3, False, False, '')
",Create an interrupt event handle .,Create an interrupt event .,Create a SECURITY_ATTRIBUTES structure and return it .,1,Prediction1,
"def resolve_expression(self, *args, **kwargs):
        

        result = dict()
        for key, value in self.value.items():
            if hasattr(value, 'resolve_expression'):
                result[key] = value.resolve_expression(
                    *args, **kwargs)
            else:
                result[key] = value

        return HStoreValue(result)","

def func1(arg1, *arg2, **arg3):
    var1 = dict()
    for (var3, var4) in self.value.items():
        if hasattr(var4, 'resolve_expression'):
            var1[var3] = value.resolve_expression(*arg2, **arg3)
        else:
            var1[var3] = var4
    return HStoreValue(var1)
",Resolves expressions inside the dictionary .,Return a new HStoreValue that is a copy of the current HStoreValue .,Return a new HStoreValue with resolved values .,0,Prediction2,
"def validate_user(self, username, password, client, request,
                      *args, **kwargs):
        
        log.debug('Validating username %r and its password', username)
        if self._usergetter is not None:
            user = self._usergetter(
                username, password, client, request, *args, **kwargs
            )
            if user:
                request.user = user
                return True
            return False
        log.debug('Password credential authorization is disabled.')
        return False","

def func1(arg1, arg2, arg3, arg4, arg5, *arg6, **arg7):
    log.debug('Validating username %r and its password', arg2)
    if (self._usergetter is not None):
        var1 = self._usergetter(arg2, arg3, arg4, arg5, *arg6, **arg7)
        if var1:
            request.user = var1
            return True
        return False
    log.debug('Password credential authorization is disabled.')
    return False
",Ensure the username and password is valid .,Validate a username and password .,Authenticates a username and its password .,1,Tie,
"def get_wildcard_key(self, wildcard_key, bucket_name=None, delimiter=''):
        
        if not bucket_name:
            (bucket_name, wildcard_key) = self.parse_s3_url(wildcard_key)

        prefix = re.split(r'[*]', wildcard_key, 1)[0]
        klist = self.list_keys(bucket_name, prefix=prefix, delimiter=delimiter)
        if klist:
            key_matches = [k for k in klist if fnmatch.fnmatch(k, wildcard_key)]
            if key_matches:
                return self.get_key(key_matches[0], bucket_name)","

def func1(arg1, arg2, arg3=None, arg4=''):
    if (not arg3):
        (arg3, arg2) = self.parse_s3_url(arg2)
    var1 = re.split('[*]', arg2, 1)[0]
    var2 = self.list_keys(arg3, prefix=var1, delimiter=arg4)
    if var2:
        var3 = [var4 for var4 in var2 if fnmatch.fnmatch(var4, arg2)]
        if var3:
            return self.get_key(var3[0], arg3)
",Returns a boto3 . s3 . Object object matching the wildcard expression,Get a key matching a wildcard key .,Get a key from arg1 to arg2,1,Prediction1,
"def multiple_choice_field_data(field, **kwargs):
    
    if field.choices:
        from django_any.functions import valid_choices 
        l = list(valid_choices(field.choices))
        random.shuffle(l)
        choices = []
        count = xunit.any_int(min_value=1, max_value=len(field.choices))
        for i in xrange(0, count):
            choices.append(l[i])
        return ' '.join(choices)
    return 'None'","

def func1(arg1, **arg2):
    if field.choices:
        from django_any.functions import valid_choices
        var1 = list(valid_choices(field.choices))
        random.shuffle(var1)
        var4 = []
        var5 = xunit.any_int(min_value=1, max_value=len(field.choices))
        for var7 in xrange(0, var5):
            choices.append(var1[var7])
        return ' '.join(var4)
    return 'None'
",Return random value for MultipleChoiceField,Returns a random string for a multiple choice field .,Return a random string from field . choices .,1,Tie,
"def convert_outlook_msg(msg_bytes):
    
    if not is_outlook_msg(msg_bytes):
        raise ValueError(""The supplied bytes are not an Outlook MSG file"")
    orig_dir = os.getcwd()
    tmp_dir = tempfile.mkdtemp()
    os.chdir(tmp_dir)
    with open(""sample.msg"", ""wb"") as msg_file:
        msg_file.write(msg_bytes)
    try:
        subprocess.check_call([""msgconvert"", ""sample.msg""],
                              stdout=null_file, stderr=null_file)
        eml_path = ""sample.eml""
        with open(eml_path, ""rb"") as eml_file:
            rfc822 = eml_file.read()
    except FileNotFoundError:
        raise EmailParserError(
            ""Failed to convert Outlook MSG: msgconvert utility not found"")
    finally:
        os.chdir(orig_dir)
        shutil.rmtree(tmp_dir)

    return rfc822","

def func1(arg1):
    if (not is_outlook_msg(arg1)):
        raise ValueError('The supplied bytes are not an Outlook MSG file')
    var3 = os.getcwd()
    var4 = tempfile.mkdtemp()
    os.chdir(var4)
    with open('sample.msg', 'wb') as var6:
        msg_file.write(arg1)
    try:
        subprocess.check_call(['msgconvert', 'sample.msg'], stdout=var7, stderr=var7)
        var8 = 'sample.eml'
        with open(var8, 'rb') as var9:
            var10 = eml_file.read()
    except FileNotFoundError:
        raise EmailParserError('Failed to convert Outlook MSG: msgconvert utility not found')
    finally:
        os.chdir(var3)
        shutil.rmtree(var4)
    return var10
",Uses the msgconvert Perl utility to convert an Outlook MS file to standard RFC 822 format,Convert an Outlook MSG to RFC822 .,Convert the supplied bytes to an Outlook MSG file .,1,Prediction1,
