Clean Code,Corrupted Code,Gold output,Prediction1,Prediction2,Shuffle_Index,Better Label
"function createBasicPlugin(name, plugin) {
  var basicPluginWrapper = function basicPluginWrapper() {

    // We trigger the ""beforepluginsetup"" and ""pluginsetup"" events on the player
    // regardless, but we want the hash to be consistent with the hash provided
    // for advanced plugins.
    //
    // The only potentially counter-intuitive thing here is the `instance` in
    // the ""pluginsetup"" event is the value returned by the `plugin` function.
    triggerSetupEvent(this, { name: name, plugin: plugin, instance: null }, true);

    var instance = plugin.apply(this, arguments);

    markPluginAsActive(this, name);
    triggerSetupEvent(this, { name: name, plugin: plugin, instance: instance });

    return instance;
  };

  Object.keys(plugin).forEach(function (prop) {
    basicPluginWrapper[prop] = plugin[prop];
  });

  return basicPluginWrapper;
}","function func0(variable0, variable1) {
    var variable2 = function variable2() {
        triggerSetupEvent(this, {
            variable0: variable0,
            variable1: variable1,
            instance: null
        }, true);
        var instance = variable1.apply(this, arguments);
        markPluginAsActive(this, variable0);
        triggerSetupEvent(this, {
            variable0: variable0,
            variable1: variable1,
            instance: instance
        });
        return instance;
    };
    Object.keys(variable1).forEach(function (prop) {
        variable2[prop] = variable1[prop];
    });
    return variable2;
}",Takes a basic plugin function and returns a wrapper function which marks on the player that the plugin has been activated .,Creates a function that can be used to create a new instance of a plugin .,Creates a new instance of a plugin .,0,Tie
"function factory(list) {
  var expressions = []
  var sensitive = []
  var insensitive = []

  construct()

  return test

  function construct() {
    var length = list.length
    var index = -1
    var value
    var normal

    while (++index < length) {
      value = list[index]
      normal = value === lower(value)

      if (value.charAt(value.length - 1) === '*') {
        // Regexes are insensitive now, once we need them this should check for
        // `normal` as well.
        expressions.push(new RegExp('^' + value.slice(0, -1), 'i'))
      } else if (normal) {
        insensitive.push(value)
      } else {
        sensitive.push(value)
      }
    }
  }

  function test(value) {
    var normal = lower(value)
    var length
    var index

    if (sensitive.indexOf(value) !== -1 || insensitive.indexOf(normal) !== -1) {
      return true
    }

    length = expressions.length
    index = -1

    while (++index < length) {
      if (expressions[index].test(value)) {
        return true
      }
    }

    return false
  }
}","function func0(variable0) {
    var variable1 = [];
    var variable2 = [];
    var variable3 = [];
    func1();
    return func2;
    function func1() {
        var variable4 = variable0.variable4;
        var variable5 = -1;
        var variable6;
        var variable7;
        while (++variable5 < variable4) {
            variable6 = variable0[variable5];
            variable7 = variable6 === lower(variable6);
            if (variable6.charAt(variable6.variable4 - 1) === '*') {
                variable1.push(new RegExp('^' + variable6.slice(0, -1), 'i'));
            } else if (variable7) {
                variable3.push(variable6);
            } else {
                variable2.push(variable6);
            }
        }
    }
    function func2(variable6) {
        var variable7 = lower(variable6);
        var variable4;
        var variable5;
        if (variable2.indexOf(variable6) !== -1 || variable3.indexOf(variable7) !== -1) {
            return true;
        }
        variable4 = variable1.variable4;
        variable5 = -1;
        while (++variable5 < variable4) {
            if (variable1[variable5].func2(variable6)) {
                return true;
            }
        }
        return false;
    }
}",Create a test based on a list of phrases .,Returns a function that returns true if the variable0 is a regular expression and false otherwise .,Creates a function that returns a function that returns true if any of the strings in the array contains any of the patterns that match the pattern .,0,Prediction2
"function GNTP(type, opts) {
        opts = opts || {};
        this.type = type;
        this.host = opts.host || 'localhost';
        this.port = opts.port || 23053;
        this.request = 'GNTP/1.0 ' + type + ' NONE' + nl;
        this.resources = [];
        this.attempts = 0;
        this.maxAttempts = 5;
    }","function func0(variable0, variable1) {
    variable1 = variable1 || {};
    this.variable0 = variable0;
    this.host = variable1.host || 'localhost';
    this.port = variable1.port || 23053;
    this.request = 'GNTP/1.0 ' + variable0 + ' NONE' + nl;
    this.resources = [];
    this.attempts = 0;
    this.maxAttempts = 5;
}",Create a new GNTP request of the given type .,Creates a new GNTP function,Creates a new GNTP instance .,0,Tie
"function registerOAuth2 (providerName, Strategy) {
    registerProvider(providerName, function (credentials, passport, authHandler) {
      passport.use(new Strategy(credentials,
        function (req, accessToken, refreshToken, profile, done) {
          authHandler(req, providerName, {accessToken: accessToken, refreshToken: refreshToken}, profile)
            .asCallback(done);
        }
      ));
    });
  }","function func0(variable0, variable1) {
    registerProvider(variable0, function (credentials, passport, authHandler) {
        passport.use(new variable1(credentials, function (req, accessToken, refreshToken, profile, done) {
            authHandler(req, variable0, {
                accessToken: accessToken,
                refreshToken: refreshToken
            }, profile).asCallback(done);
        }));
    });
}",A shortcut to register OAuth2 providers that follow the exact accessToken refreshToken pattern .,Register a new provider .,Register a provider to passport,1,Tie
"function main() {
    return __awaiter(this, void 0, void 0, function () {
        var outputDataSize, interval, dataFrame, dateFormat, api;
        return __generator(this, function (_a) {
            switch (_a.label) {
                case 0:
                    outputDataSize = ""compact"";
                    if (argv.outputDataSize) {
                        outputDataSize = argv.outputDataSize;
                    }
                    interval = '60min';
                    if (argv.interval) {
                        interval = argv.interval;
                    }
                    api = new index_1.AlphaVantageAPI(argv.apiKey, outputDataSize, argv.verbose);
                    if (!(argv.type === 'daily')) return [3 /*break*/, 2];
                    return [4 /*yield*/, api.getDailyDataFrame(argv.symbol)];
                case 1:
                    dataFrame = _a.sent();
                    dateFormat = 'YYYY-MM-DD';
                    return [3 /*break*/, 5];
                case 2:
                    if (!(argv.type === 'intraday')) return [3 /*break*/, 4];
                    return [4 /*yield*/, api.getIntradayDataFrame(argv.symbol, interval)];
                case 3:
                    dataFrame = _a.sent();
                    dateFormat = ""YYYY-MM-DD HH:mm:ss"";
                    return [3 /*break*/, 5];
                case 4: throw new Error(""Unexpected data type: "" + argv.type + "", expected it to be either 'daily' or 'intrday'"");
                case 5:
                    if (!argv.verbose) {
                        console.log('>> ' + argv.out);
                    }
                    dataFrame
                        .transformSeries({
                        Timestamp: function (t) { return moment(t).format(dateFormat); },
                    })
                        .asCSV()
                        .writeFileSync(argv.out);
                    return [2 /*return*/];
            }
        });
    });
}","function func0() {
    return __awaiter(this, void 0, void 0, function () {
        var outputDataSize, interval, dataFrame, dateFormat, api;
        return __generator(this, function (_a) {
            switch (_a.label) {
            case 0:
                outputDataSize = 'compact';
                if (argv.outputDataSize) {
                    outputDataSize = argv.outputDataSize;
                }
                interval = '60min';
                if (argv.interval) {
                    interval = argv.interval;
                }
                api = new index_1.AlphaVantageAPI(argv.apiKey, outputDataSize, argv.verbose);
                if (!(argv.type === 'daily'))
                    return [
                        3,
                        2
                    ];
                return [
                    4,
                    api.getDailyDataFrame(argv.symbol)
                ];
            case 1:
                dataFrame = _a.sent();
                dateFormat = 'YYYY-MM-DD';
                return [
                    3,
                    5
                ];
            case 2:
                if (!(argv.type === 'intraday'))
                    return [
                        3,
                        4
                    ];
                return [
                    4,
                    api.getIntradayDataFrame(argv.symbol, interval)
                ];
            case 3:
                dataFrame = _a.sent();
                dateFormat = 'YYYY-MM-DD HH:mm:ss';
                return [
                    3,
                    5
                ];
            case 4:
                throw new Error('Unexpected data type: ' + argv.type + ', expected it to be either \'daily\' or \'intrday\'');
            case 5:
                if (!argv.verbose) {
                    console.log('>> ' + argv.out);
                }
                dataFrame.transformSeries({
                    Timestamp: function (t) {
                        return moment(t).format(dateFormat);
                    }
                }).asCSV().writeFileSync(argv.out);
                return [2];
            }
        });
    });
}",Entry point .,Get data frames from the alpha vantage API,Get data frame from alpha vantage API,1,Tie
"function whenRead (args) {
    let value = getValue(args)
    if (value && typeof value.then === 'function') {
      value.then((val) => whenTest(args, val)).catch((error) => {
        console.error(`${action.displayName} caught an error whilst getting a value to test`, error)
      })
    } else {
      whenTest(args, value)
    }
  }","function func0(variable0) {
    let variable1 = getValue(variable0);
    if (variable1 && typeof variable1.then === 'function') {
        variable1.then(val => whenTest(variable0, val)).catch(error => {
            console.error(`${ action.displayName } caught an error whilst getting a value to test`, error);
        });
    } else {
        whenTest(variable0, variable1);
    }
}",define the action,Get the value to test,This function is called when the value of the variable0 is set to true,1,Prediction1
"function TextTrackCueList(cues) {
    classCallCheck(this, TextTrackCueList);

    var list = this; // eslint-disable-line

    if (IS_IE8) {
      list = document.createElement('custom');

      for (var prop in TextTrackCueList.prototype) {
        if (prop !== 'constructor') {
          list[prop] = TextTrackCueList.prototype[prop];
        }
      }
    }

    TextTrackCueList.prototype.setCues_.call(list, cues);

    /**
     * @memberof TextTrackCueList
     * @member {number} length
     *         The current number of `TextTrackCue`s in the TextTrackCueList.
     * @instance
     */
    Object.defineProperty(list, 'length', {
      get: function get$$1() {
        return this.length_;
      }
    });

    if (IS_IE8) {
      return list;
    }
  }","function func0(variable0) {
    classCallCheck(this, func0);
    var variable1 = this;
    if (IS_IE8) {
        variable1 = document.createElement('custom');
        for (var prop in func0.prototype) {
            if (prop !== 'constructor') {
                variable1[prop] = func0.prototype[prop];
            }
        }
    }
    func0.prototype.setCues_.call(variable1, variable0);
    Object.defineProperty(variable1, 'length', {
        get: function get$$1() {
            return this.length_;
        }
    });
    if (IS_IE8) {
        return variable1;
    }
}",Create an instance of this class ..,Creates a new Cues object .,Creates a new instance of func0 .,1,Prediction1
"function run(context, fn, finish, args) {
	// Argument mangling {{{
	if (typeof context == 'function') { // called as run(fn, finish, args);
		args = finish;
		finish = fn;
		fn = context;
		context = this;
	}
	// }}}

	if (isPromise(fn)) { // Given a promise that has already resolved?
		fn
			.then(function(value) {
				finish.apply(context, [null, value]);
			})
			.catch(function(err) {
				finish.call(context, err || 'An error occured');
			});
	} else if (hasCallback(fn)) { // Callback w/ (err, result) pattern
		var result = fn.apply(context, args ? [finish].concat(args) : [finish]);
		if (isPromise(result)) {
			result
				.then(function(value) { // Remap result from (val) => (err, val)
					finish.apply(context, [null, value]);
				})
				.catch(function(err) {
					finish.call(context, err || 'An error occured');
				});
		}
	} else { // Maybe either a promise or sync function?
		var result;
		try {
			result = fn.apply(context, args || []); // Run the function and see what it gives us
		} catch (e) {
			finish.call(context, e);
		}
		if (isPromise(result)) { // Got back a promise - attach to the .then() function
			result
				.then(function(value) { // Remap result from (val) => (err, val)
					finish.apply(context, [null, value]);
				})
				.catch(function(err) {
					finish.call(context, err || 'An error occured');
				});
		} else { // Didn't provide back a promise - assume it was a sync function
			finish.apply(context, [null, result]);
		}
	}
}","function func0(variable0, variable1, variable2, variable3) {
    if (typeof variable0 == 'function') {
        variable3 = variable2;
        variable2 = variable1;
        variable1 = variable0;
        variable0 = this;
    }
    if (isPromise(variable1)) {
        variable1.then(function (value) {
            variable2.apply(variable0, [
                null,
                value
            ]);
        }).catch(function (err) {
            variable2.call(variable0, err || 'An error occured');
        });
    } else if (hasCallback(variable1)) {
        var result = variable1.apply(variable0, variable3 ? [variable2].concat(variable3) : [variable2]);
        if (isPromise(result)) {
            result.then(function (value) {
                variable2.apply(variable0, [
                    null,
                    value
                ]);
            }).catch(function (err) {
                variable2.call(variable0, err || 'An error occured');
            });
        }
    } else {
        var result;
        try {
            result = variable1.apply(variable0, variable3 || []);
        } catch (e) {
            variable2.call(variable0, e);
        }
        if (isPromise(result)) {
            result.then(function (value) {
                variable2.apply(variable0, [
                    null,
                    value
                ]);
            }).catch(function (err) {
                variable2.call(variable0, err || 'An error occured');
            });
        } else {
            variable2.apply(variable0, [
                null,
                result
            ]);
        }
    }
}",Run a single function promise return promise factory or any other combination - then a callback when finished Take a function reference and treat it as a callback style function If the function returns a promise this behaviour is transformed into a callback style function,Execute a function in a context .,Calls variable1 with variable2 and variable3 . If variable2 is a function it will call variable2 with variable3 .,1,Prediction1
"function convertPatternGroupToTask(base, positive, negative, dynamic) {
    return {
        base: base,
        dynamic: dynamic,
        patterns: [].concat(positive, negative.map(patternUtils.convertToNegativePattern)),
        positive: positive,
        negative: negative
    };
}","function func0(variable0, variable1, variable2, variable3) {
    return {
        variable0: variable0,
        variable3: variable3,
        patterns: [].concat(variable1, variable2.map(patternUtils.convertToNegativePattern)),
        variable1: variable1,
        variable2: variable2
    };
}",Create a task for positive and negative patterns .,Creates a new pattern object .,Creates a function that takes a variable0 and a variable1 and a variable2 and a variable3 and returns a function that takes a variable0 and a variable1 and a variable2 array .,1,Prediction1
"function addTypesToSet(typeSet, types, typeSetKind) {
            for (var _i = 0; _i < types.length; _i++) {
                var type = types[_i];
                addTypeToSet(typeSet, type, typeSetKind);
            }
        }","function func0(variable0, variable1, variable2) {
    for (var _i = 0; _i < variable1.length; _i++) {
        var variable3 = variable1[_i];
        addTypeToSet(variable0, variable3, variable2);
    }
}",Add the given types to the given type set . Order is preserved duplicates are removed and nested types of the given kind are flattened into the set .,Creates a function that sets the type of variable0 to variable1,Sets the types of a list of types to the given object .,0,Prediction2
"function writePackageManifest (packageName) {
  const packagePath = require.resolve(packageName + '/package.json')
  let { name, main, author, license, types, typings } = require(packagePath)
  if (!main) {
    main = 'index.js'
  }

  let typesFile = types || typings
  if (typesFile) {
    typesFile = require.resolve(join(packageName, typesFile))
  }

  const compiledPackagePath = join(__dirname, `dist/compiled/${packageName}`)

  const potentialLicensePath = join(dirname(packagePath), './LICENSE')
  if (existsSync(potentialLicensePath)) {
    this._.files.push({
      dir: compiledPackagePath,
      base: 'LICENSE',
      data: readFileSync(potentialLicensePath, 'utf8')
    })
  }

  this._.files.push({
    dir: compiledPackagePath,
    base: 'package.json',
    data:
      JSON.stringify(
        Object.assign(
          {},
          { name, main: `${basename(main, '.' + extname(main))}` },
          author ? { author } : undefined,
          license ? { license } : undefined,
          typesFile
            ? {
              types: relative(compiledPackagePath, typesFile)
            }
            : undefined
        )
      ) + '\n'
  })
}","function func0(variable0) {
    const variable1 = require.resolve(variable0 + '/package.json');
    let {name, main, author, license, types, typings} = require(variable1);
    if (!main) {
        main = 'index.js';
    }
    let variable2 = types || typings;
    if (variable2) {
        variable2 = require.resolve(join(variable0, variable2));
    }
    const variable3 = join(__dirname, `dist/compiled/${ variable0 }`);
    const variable4 = join(dirname(variable1), './LICENSE');
    if (existsSync(variable4)) {
        this._.files.push({
            dir: variable3,
            base: 'LICENSE',
            data: readFileSync(variable4, 'utf8')
        });
    }
    this._.files.push({
        dir: variable3,
        base: 'package.json',
        data: JSON.stringify(Object.assign({}, {
            name,
            main: `${ basename(main, '.' + extname(main)) }`
        }, author ? { author } : undefined, license ? { license } : undefined, variable2 ? { types: relative(variable3, variable2) } : undefined)) + '\n'
    });
}",This function writes a minimal package . json file for a compiled package . It defines name main author and license . It also defines types . n . b . types intended for development usage only .,This function is the main function of the compiler .,Add a package . json file to the compiler .,0,Prediction2
"function getBaseParams(params, base) {
  if (typeof base !== 'string') {
    throw new Error(`Invalid repository name in key ""${BASE_KEY}""`);
  }

  const match = base.match(BASE_REGEX);
  if (match == null) {
    throw new Error(`Invalid repository name in key ""${BASE_KEY}"": ${base}`);
  }

  return {
    owner: match[1] || params.owner,
    repo: match[2],
    path: match[3] || params.path,
  };
}","function func0(variable0, variable1) {
    if (typeof variable1 !== 'string') {
        throw new Error(`Invalid repository name in key ""${ BASE_KEY }""`);
    }
    const variable2 = variable1.variable2(BASE_REGEX);
    if (variable2 == null) {
        throw new Error(`Invalid repository name in key ""${ BASE_KEY }"": ${ variable1 }`);
    }
    return {
        owner: variable2[1] || variable0.owner,
        repo: variable2[2],
        path: variable2[3] || variable0.path
    };
}",Computes parameters for the repository specified in base,Create a repository object from variable0 and variable1,Parses a repository name into a repository object .,0,Prediction2
"function campaignStatByCountries(callback,id){
    if (id===undefined) {
        return callback(returnError('Empty book id'));
    }
    sendRequest( 'campaigns/' + id + '/countries', 'GET', {}, true, callback );
}","function func0(variable0, variable1) {
    if (variable1 === undefined) {
        return variable0(returnError('Empty book id'));
    }
    sendRequest('campaigns/' + variable1 + '/countries', 'GET', {}, true, variable0);
}",Get campaign statistic by countries,Get countries for a book,Get the countries for a book,0,Tie
"function startWatching(opts) {
    var chokidarOpts = createChokidarOpts(opts);
    var watcher = chokidar.watch(opts.patterns, chokidarOpts);

    var throttledRun = _.throttle(run, opts.throttle);
    var debouncedRun = _.debounce(throttledRun, opts.debounce);
    watcher.on('all', function(event, path) {
        var description = EVENT_DESCRIPTIONS[event] + ':';

        if (opts.verbose) {
            console.error(description, path);
        } else {
            if (!opts.silent) {
                console.log(event + ':' + path);
            }
        }

        // XXX: commands might be still run concurrently
        if (opts.command) {
            debouncedRun(
                opts.command
                    .replace(/\{path\}/ig, path)
                    .replace(/\{event\}/ig, event)
            );
        }
    });

    watcher.on('error', function(error) {
        console.error('Error:', error);
        console.error(error.stack);
    });

    watcher.once('ready', function() {
        var list = opts.patterns.join('"", ""');
        if (!opts.silent) {
            console.error('Watching', '""' + list + '"" ..');
        }
    });
}","function func0(variable0) {
    var variable1 = createChokidarOpts(variable0);
    var variable2 = chokidar.watch(variable0.patterns, variable1);
    var variable3 = _.throttle(run, variable0.throttle);
    var variable4 = _.debounce(variable3, variable0.debounce);
    variable2.on('all', function (event, path) {
        var description = EVENT_DESCRIPTIONS[event] + ':';
        if (variable0.verbose) {
            console.error(description, path);
        } else {
            if (!variable0.silent) {
                console.log(event + ':' + path);
            }
        }
        if (variable0.command) {
            variable4(variable0.command.replace(/\{path\}/ig, path).replace(/\{event\}/ig, event));
        }
    });
    variable2.on('error', function (error) {
        console.error('Error:', error);
        console.error(error.stack);
    });
    variable2.once('ready', function () {
        var list = variable0.patterns.join('"", ""');
        if (!variable0.silent) {
            console.error('Watching', '""' + list + '"" ..');
        }
    });
}",Estimates spent working hours based on commit dates,Watches for changes .,Run chokidar with variable0,1,Prediction1
"function allSettled(promises) {
    ""use strict"";
    const wrappedPromises = promises.map((curPromise) => curPromise.reflect());
    return Promise.all(wrappedPromises);
}","function func0(variable0) {
    'use strict';
    const variable1 = variable0.map(curPromise => curPromise.reflect());
    return Promise.all(variable1);
}",Creates a promise that is resolved when all input promises have been settled . The returned Promise is resolved with an array of Promise . Inspection objects .,reflects a list of promises,function 0 - > Promise . all,1,Prediction1
"function getMarkupSnippets(registry, config) {
	return registry.all({ type: 'string' }).map(snippet => ({
		key: snippet.key,
		value: snippet.value,
		preview: removeFields(expand(snippet.value, config)),
		snippet: snippet.key
	}));
}","function func0(variable0, variable1) {
    return variable0.all({ type: 'string' }).map(snippet => ({
        key: snippet.key,
        value: snippet.value,
        preview: removeFields(expand(snippet.value, variable1)),
        snippet: snippet.key
    }));
}",Returns markup snippets list,Function to expand variable0 with variable1,Get a list of strings from a JSON document .,0,Prediction2
"function load(images){
		def = Deferred();
		
		/**
		 * Check if the images is img objects or image src
		 * return string of src
		 */
		srcs = convertImagesToSrc(images);

		/**
		 * Loop through src's and load image
		 */
		for (var i = 0; i < srcs.length; i++) {
			imageloader.load(srcs[i])
			.success(function(img){

				/** call imageloaded a pass the img that is loaded */
				imageLoaded(img);
			})
			.error(function(msg){
				def.reject(msg + ' couldn\'t be loaded');
			});
		};
		return def.promise;
	}","function func0(variable0) {
    def = Deferred();
    srcs = convertImagesToSrc(variable0);
    for (var i = 0; i < srcs.length; i++) {
        imageloader.func0(srcs[i]).success(function (img) {
            imageLoaded(img);
        }).error(function (msg) {
            def.reject(msg + ' couldn\'t be loaded');
        });
    }
    ;
    return def.promise;
}",Load a collection of images,call the imageloader function,Load a list of images,0,Prediction2
"function mergeProperty(destination, source, property) {
    if (source[property] instanceof Array) {
        mergeAsArray(destination, source, property);
    }
    else if (isPrimitive(source[property]) || !isLiteral(source[property])) {
        overrideIfNotExists(destination, source, property);
    }
    else {
        mergeAsObject(destination, source, property);
    }
}","function func0(variable0, variable1, variable2) {
    if (variable1[variable2] instanceof Array) {
        mergeAsArray(variable0, variable1, variable2);
    } else if (isPrimitive(variable1[variable2]) || !isLiteral(variable1[variable2])) {
        overrideIfNotExists(variable0, variable1, variable2);
    } else {
        mergeAsObject(variable0, variable1, variable2);
    }
}",Merge a single property,Merge a value into an object .,Merge variable0 with variable1 with variable2,1,Prediction1
"function checkToMove(contextControl, targetControl) {
    var elements = contextControl.find('.transfer-group').find('input:checked')
    var sourceTag = $(elements).closest('.form-check')

    $(elements).each(function() {
      $(this).prop('checked', false)
      $(sourceTag)
        .detach()
        .appendTo(targetControl)
        .addClass('added')
    })
  }","function func0(variable0, variable1) {
    var variable2 = variable0.find('.transfer-group').find('input:checked');
    var variable3 = $(variable2).closest('.form-check');
    $(variable2).each(function () {
        $(this).prop('checked', false);
        $(variable3).detach().appendTo(variable1).addClass('added');
    });
}",elementi da aggiungere,Remove all inputs from the transfer group .,This function is called when the user clicks on a radio button,1,Prediction1
"function KeystoneClient(url, options) {
  options = options || {};

  if (options.username) {
    if (!options.password && !options.apiKey) {
      throw new Error('If username is provided you also need to provide password or apiKey');
    }
  }

  this._url = url;
  this._username = options.username;
  this._apiKey = options.apiKey;
  this._password = options.password;
  this._extraArgs = options.extraArgs || {};
  this._cacheTokenFor = options.cacheTokenFor || DEFAULT_CACHE_TOKEN_FOR;

  this._token = null;
  this._tokenExpires = null;
  this._refreshTokenCompletions = [];
  this._tokenUpdated = 0;
  this._tenantId = null;
  this._serviceCatalog = [];
}","function func0(variable0, variable1) {
    variable1 = variable1 || {};
    if (variable1.username) {
        if (!variable1.password && !variable1.apiKey) {
            throw new Error('If username is provided you also need to provide password or apiKey');
        }
    }
    this._url = variable0;
    this._username = variable1.username;
    this._apiKey = variable1.apiKey;
    this._password = variable1.password;
    this._extraArgs = variable1.extraArgs || {};
    this._cacheTokenFor = variable1.cacheTokenFor || DEFAULT_CACHE_TOKEN_FOR;
    this._token = null;
    this._tokenExpires = null;
    this._refreshTokenCompletions = [];
    this._tokenUpdated = 0;
    this._tenantId = null;
    this._serviceCatalog = [];
}",OpenStack Keystone Identity API client .,Creates a new Client instance .,Creates a new instance of func0,1,Prediction1
"function filter(arr, cb) {
  if (arr == null) return [];
  if (typeof cb !== 'function') {
    throw new TypeError('braces: filter expects a callback function.');
  }

  var len = arr.length;
  var res = arr.slice();
  var i = 0;

  while (len--) {
    if (!cb(arr[len], i++)) {
      res.splice(len, 1);
    }
  }
  return res;
}","function func0(variable0, variable1) {
    if (variable0 == null)
        return [];
    if (typeof variable1 !== 'function') {
        throw new TypeError('braces: filter expects a callback function.');
    }
    var variable2 = variable0.length;
    var variable3 = variable0.slice();
    var variable4 = 0;
    while (variable2--) {
        if (!variable1(variable0[variable2], variable4++)) {
            variable3.splice(variable2, 1);
        }
    }
    return variable3;
}",Fast array filter,Returns a copy of variable0 that does not match variable1 .,The base implementation of _ . filter without support for callback shorthands .,0,Prediction2
"function mapImageResources(rootDir, subDir, type, resourceName) {
    var pathMap = {};
    shell.ls(path.join(rootDir, subDir, type + '-*'))
    .forEach(function (drawableFolder) {
        var imagePath = path.join(subDir, path.basename(drawableFolder), resourceName);
        pathMap[imagePath] = null;
    });
    return pathMap;
}","function func0(variable0, variable1, variable2, variable3) {
    var variable4 = {};
    shell.ls(path.join(variable0, variable1, variable2 + '-*')).forEach(function (drawableFolder) {
        var imagePath = path.join(variable1, path.basename(drawableFolder), variable3);
        variable4[imagePath] = null;
    });
    return variable4;
}",Gets a map containing resources of a specified name from all drawable folders in a directory .,Get the list of all drawable folders .,Returns an object with all the images in the specified folder,1,Prediction1
"function startDecelAnim() {
            var firstPoint = trackingPoints[0];
            var lastPoint = trackingPoints[trackingPoints.length - 1];

            var xOffset = lastPoint.x - firstPoint.x;
            var yOffset = lastPoint.y - firstPoint.y;
            var timeOffset = lastPoint.time - firstPoint.time;

            var D = timeOffset / 15 / multiplier;

            decVelX = xOffset / D || 0; // prevent NaN
            decVelY = yOffset / D || 0;

            var diff = checkBounds();

            if (Math.abs(decVelX) > 1 || Math.abs(decVelY) > 1 || !diff.inBounds) {
                decelerating = true;
                requestAnimFrame(stepDecelAnim);
            }
        }","function func0() {
    var variable0 = trackingPoints[0];
    var variable1 = trackingPoints[trackingPoints.length - 1];
    var variable2 = variable1.x - variable0.x;
    var variable3 = variable1.y - variable0.y;
    var variable4 = variable1.time - variable0.time;
    var variable5 = variable4 / 15 / multiplier;
    decVelX = variable2 / variable5 || 0;
    decVelY = variable3 / variable5 || 0;
    var variable6 = checkBounds();
    if (Math.abs(decVelX) > 1 || Math.abs(decVelY) > 1 || !variable6.inBounds) {
        decelerating = true;
        requestAnimFrame(stepDecelAnim);
    }
}",Initialize animation of values coming to a stop,Decelerating function,step the decelerating animation,0,Prediction2
"function getIndexOfPrimitive(primitive, array, startingPosition) {
    if (startingPosition === void 0) { startingPosition = 0; }
    errorIfNotPrimitive_1.errorIfNotPrimitive(primitive);
    error_if_not_populated_array_1.errorIfNotPopulatedArray(array);
    errorIfNotInteger_1.errorIfNotInteger(startingPosition);
    return array.indexOf(primitive, startingPosition);
}","function func0(variable0, variable1, variable2) {
    if (variable2 === void 0) {
        variable2 = 0;
    }
    errorIfNotPrimitive_1.errorIfNotPrimitive(variable0);
    error_if_not_populated_array_1.errorIfNotPopulatedArray(variable1);
    errorIfNotInteger_1.errorIfNotInteger(variable2);
    return variable1.indexOf(variable0, variable2);
}",According to tests this error - checking does not slow down execution . It s not necessary to worry about repetitive error - checking slowing down execution when this function is called inside a loop .,Gets the index of a value in an array .,Returns the index of variable0 in variable1,1,Prediction1
"function currentTreeRootSecondChildExcludingDragging() {
      var _this = this;

      return this.currentTree.rootData.children.slice(0, 3).filter(function (v) {
        return v !== _this.node;
      })[1];
    }","function func0() {
    var variable0 = this;
    return this.currentTree.rootData.children.slice(0, 3).filter(function (v) {
        return v !== variable0.node;
    })[1];
}",the second child of currentTree root excluding dragging node,Get the root node of the current node .,Returns the name of the first node in the tree .,1,Prediction1
"function hasChanged(previousState, newState, filepath) {
    const previouslyExists = exists(previousState, filepath);
    const newExists = exists(newState, filepath);
    if (!previouslyExists && !newExists) {
        // Still non existing
        return false;
    } else if (exists(previousState, filepath) !== exists(newState, filepath)) {
        // The file is absent from one
        return true;
    } else {
        // Both files exist
        const prevWorking = previousState.getCurrentState();
        const newWorking = newState.getCurrentState();

        const prevSha = WorkingUtils.findSha(prevWorking, filepath);
        const newSha = WorkingUtils.findSha(newWorking, filepath);
        if (prevSha === null && newSha === null) {
            // Both have are in pending changes. We can compare their contents
            return read(previousState, filepath).getAsString() !==
                read(newState, filepath).getAsString();
        } else {
            // Content changed if Shas are different, or one of them is null
            return prevSha !== newSha;
        }
    }
}","function func0(variable0, variable1, variable2) {
    const variable3 = exists(variable0, variable2);
    const variable4 = exists(variable1, variable2);
    if (!variable3 && !variable4) {
        return false;
    } else if (exists(variable0, variable2) !== exists(variable1, variable2)) {
        return true;
    } else {
        const prevWorking = variable0.getCurrentState();
        const newWorking = variable1.getCurrentState();
        const prevSha = WorkingUtils.findSha(prevWorking, variable2);
        const newSha = WorkingUtils.findSha(newWorking, variable2);
        if (prevSha === null && newSha === null) {
            return read(variable0, variable2).getAsString() !== read(variable1, variable2).getAsString();
        } else {
            return prevSha !== newSha;
        }
    }
}",Returns true if the given file has the same content in both RepositoryState s current working state or is absent from both .,Check if two files are the same .,Returns true if variable0 != variable1,1,Prediction1
